Ext_id^Address^global_id^AdmArea^District^Event_type^Name^Requester^TS_from^TS_to^Lanes_closed^geoData
20759^Фрунзенская наб., д.8^2639121078^Центральный административный округ^район Хамовники^Ремонтные работы^Работы ДЖКХ^Unknown^2024-02-19^2025-05-20^1^[[37.595787445, 55.732870129], [37.59622944, 55.733289645]]
20890^ул. Большая Академическая (ул. Валаамская - ул. Линии Октябрьской железной дороги)^2639494326^Северный административный округ^Тимирязевский район^Ремонтные работы^Работы коммерческих организаций^Unknown^2024-01-15^2024-12-08^1^[[37.560100034, 55.84447127], [37.560007415, 55.844435541]]
20659^ул. Новослободская (в сторону области) (ул. Палиха, влд.2/34 - ул. Новослободская, д.28)^2639494348^Центральный административный округ^Тверской район^Ремонтные работы^Работы коммерческих организаций^Unknown^2024-05-29^2024-11-19^1^[[37.597433083, 55.783436047], [37.597221136, 55.783684344]]
20301^ул. Маршала Тухачевского, д.15 - д.14, к.1^2639494385^Северо-Западный административный округ^район Хорошёво-Мнёвники^Ремонтные работы^Работы ДЖКХ^Unknown^2024-02-07^2024-06-30^1^[[37.486243397, 55.781979222], [37.48678118, 55.781894756], [37.487137248, 55.781819366], [37.48697564, 55.781857048]]
20292^Зелёный пр-кт, д.76^2639494387^Восточный административный округ^район Новогиреево^Ремонтные работы^Работы ДЖКХ^Unknown^2023-10-19^2024-11-30^1^[[37.829881509, 55.74968833], [37.830577344, 55.74957679], [37.830598901, 55.749569617], [37.830077782, 55.749660571], [37.830283642, 55.749630003]]
20128^Савеловская линия, д.7 - д.9^2639494411^Северо-Восточный административный округ^Бутырский район^Ремонтные работы^Работы коммерческих организаций^Unknown^2023-11-29^2025-10-28^2^[[37.58645609, 55.805691134], [37.586429328, 55.805770847]]
20078^Чечерский пр-д, д.28 - д.26^2639494416^Юго-Западный административный округ^район Южное Бутово^Ремонтные работы^Работы коммерческих организаций^Unknown^2023-11-29^2025-03-01^1^[[37.538083337, 55.536895779], [37.53847003, 55.536789545]]
19825^Нижний Кисловский пер. (Никитский б-р, д.8А - ул. Воздвиженка)^2639494433^Центральный административный округ^район Арбат^Ремонтные работы^Работы коммерческих организаций^Unknown^2023-10-24^2026-12-30^1^[[37.602271736, 55.753597341], [37.602342255, 55.753632665]]
19817^ул. Мясищева (Филевский б-р, д.42 - д.39)^2639494435^Западный административный округ^район Филёвский Парк^Ремонтные работы^Работы Департамента строительства^Unknown^2023-09-18^2024-12-21^2^[[37.479076057, 55.762065318], [37.479354814, 55.762054466], [37.479171753, 55.762035602]]
