WorksPlace;WorkYear;OnTerritoryOfMoscow;AdmArea;District;WorksBeginDate;PlannedEndDate;ActualBeginDate;ActualEndDate;WorksType;WorksStatus;WorkReason;Customer;Contractor;global_id;geoData;geodata_center
Место проведения;Год проведения работ;Объект расположен в пределах границ города Москвы;Административный округ;Район;Плановая дата начала выполнения работ;Плановая дата окончания работ;Фактическая дата начала выполнения работ;Фактическая дата окончания работ;Тип работ;Статус работ;Основание проведения работ;Заказчик;Подрядчик;global_id;geoData;geodata_center
2-й Звенигородский переулок;2020;да;Центральный административный округ;Пресненский район;14.08.2020;08.10.2020;14.08.2020;08.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138031;{coordinates=[[[37.555009201, 55.764145825], [37.55523361, 55.764130143], [37.555469645, 55.764852984], [37.555888069, 55.765439715], [37.556891215, 55.766622223], [37.556703461, 55.766740169], [37.556193841, 55.766050631], [37.555839789, 55.765630249], [37.555249703, 55.764834837], [37.555008305, 55.76414829]]], type=MultiLineString};{coordinates=[37.555888069, 55.765439715], type=Point}
2-я Звенигородская улица;2020;да;Центральный административный округ;Пресненский район;28.08.2020;13.09.2020;28.08.2020;13.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138034;{coordinates=[[[37.555076618, 55.75643665], [37.555360933, 55.756475975], [37.555162449, 55.75778278], [37.555044432, 55.758992745], [37.555010206, 55.760671568], [37.555046082, 55.76205522], [37.555024188, 55.762303149], [37.555088561, 55.763921281], [37.554895442, 55.763969672], [37.554841798, 55.763664199], [37.554852527, 55.763171202], [37.554825705, 55.761005571], [37.554847163, 55.759759371], [37.554852527, 55.758797471], [37.554986637, 55.757620774], [37.555142206, 55.756447067]]], type=MultiLineString};{coordinates=[37.554847163, 55.759759371], type=Point}
2-я Черногрязская улица;2020;да;Центральный административный округ;Пресненский район;14.08.2020;02.10.2020;14.08.2020;02.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138035;{coordinates=[[[37.547976298, 55.76482853], [37.548201604, 55.764801311], [37.547960205, 55.764368817], [37.547740264, 55.763881878], [37.547257466, 55.762548058], [37.546701192, 55.761068673], [37.546432971, 55.760403233], [37.546289349, 55.760426327], [37.546412731, 55.760722752], [37.546635354, 55.7613897], [37.546737278, 55.761693679], [37.54713471, 55.762741806], [37.547630919, 55.763968252], [37.547942055, 55.76478334], [37.547969073, 55.764824498]]], type=MultiLineString};{coordinates=[37.547257466, 55.762548058], type=Point}
Бахрушина ул.;2020;да;Центральный административный округ;район Замоскворечье;21.03.2020;03.06.2020;21.03.2020;03.06.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138040;{coordinates=[[[37.637720128, 55.731480493], [37.637988349, 55.731583411], [37.637473923, 55.732245021], [37.637028118, 55.732903161], [37.636223455, 55.734129035], [37.634887376, 55.73607888], [37.634418723, 55.736813639], [37.634023845, 55.737432723], [37.633857548, 55.737363112], [37.634136498, 55.736903074], [37.634699762, 55.736140367], [37.635075271, 55.735604647], [37.635806609, 55.734396363], [37.636316229, 55.7336215], [37.637741268, 55.731507124]]], type=MultiLineString};{coordinates=[37.635806609, 55.734396363], type=Point}
Библиотечная ул. (от ул. Б.Андроньевская до ул. Добровольческая);2020;да;Центральный административный округ;Таганский район;08.03.2020;20.03.2020;08.03.2020;20.03.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138042;{coordinates=[[[37.668564862, 55.744265971], [37.668583637, 55.744228146], [37.670557743, 55.744371881], [37.670530921, 55.744458122], [37.66860947, 55.744302349], [37.668556815, 55.74430077]]], type=MultiLineString};{coordinates=[37.66860947, 55.744302349], type=Point}
Большая Татарская ул.;2020;да;Центральный административный округ;район Замоскворечье;25.03.2020;16.07.2020;25.03.2020;16.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138044;{coordinates=[[[37.630953401, 55.743537101], [37.631141156, 55.743561309], [37.631189436, 55.743189101], [37.631253809, 55.742623217], [37.631333659, 55.742351625], [37.631875466, 55.741643497], [37.632358074, 55.741045994], [37.633015157, 55.740238282], [37.633674981, 55.73944235], [37.634372355, 55.738451787], [37.634999992, 55.737686084], [37.635767104, 55.736753903], [37.636422157, 55.736012509], [37.636245131, 55.735977703], [37.635722101, 55.736596649], [37.635477949, 55.736847012], [37.635064945, 55.737351781], [37.63421581, 55.738392508], [37.633875169, 55.738896412], [37.633068272, 55.740013235], [37.632057078, 55.741187062], [37.631346044, 55.742141162], [37.631131467, 55.742457396], [37.631034907, 55.743014204], [37.630995962, 55.743557084]]], type=MultiLineString};{coordinates=[37.633674981, 55.73944235], type=Point}
Бронная Большая улица на всем протяжении;2020;да;Центральный административный округ;[Пресненский район, Тверской район];29.08.2020;06.09.2020;29.08.2020;06.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138049;{coordinates=[[[37.604205847, 55.765233224], [37.604165614, 55.765193908], [37.603975177, 55.765030591], [37.603364277, 55.764546013], [37.602679858, 55.764005025], [37.60254843, 55.763897656], [37.602411815, 55.763813033], [37.601851233, 55.763466727], [37.601464995, 55.763229302], [37.600928763, 55.762892301], [37.600437919, 55.762589844], [37.599947313, 55.762289495], [37.599893669, 55.762257737], [37.599829296, 55.762209343], [37.599775652, 55.762150363], [37.599287474, 55.761695126], [37.599029982, 55.761451641], [37.598483165, 55.760904729], [37.598221053, 55.760640905], [37.598124493, 55.760562261], [37.597998429, 55.760495717], [37.597848226, 55.760430685], [37.597555865, 55.760317256], [37.596872449, 55.76004015], [37.596830067, 55.760035713]]], type=MultiLineString};{coordinates=[37.600437919, 55.762589844], type=Point}
Вековая ул. (от ул. Б.Андроньевская до ул. Добровольческая);2020;да;Центральный административный округ;Таганский район;07.03.2020;15.03.2020;07.03.2020;15.03.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031138053;{coordinates=[[[37.669101271, 55.743208127], [37.669122729, 55.743162735], [37.669287398, 55.743176603], [37.670820567, 55.74327924], [37.670796427, 55.743362457], [37.669960919, 55.74329664], [37.669098589, 55.743242927]]], type=MultiLineString};{coordinates=[37.669960919, 55.74329664], type=Point}
Кудринская площадь на всем протяжении;2020;да;Центральный административный округ;Пресненский район;13.07.2020;29.07.2020;13.07.2020;29.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031173553;{coordinates=[[[37.581833303, 55.759466284], [37.58130759, 55.758440018], [37.583976388, 55.758049125], [37.584287524, 55.758989375], [37.581849396, 55.759466284]]], type=MultiLineString};{coordinates=[37.583976388, 55.758049125], type=Point}
МКАД внешнее кольцо (МКАД, прямой ход от Абрамцевской до Щелковской транспортной развязки) от 103 км до 104 км 3-4 ряд;2020;да;Восточный административный округ;район Гольяново;21.02.2020;12.03.2020;21.02.2020;12.05.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031173598;{coordinates=[[[37.838845253, 55.815178336], [37.83901155, 55.815196798], [37.838721871, 55.81641258], [37.838641405, 55.816753159], [37.838459015, 55.817714598], [37.838421464, 55.818166677], [37.838346088, 55.818855038], [37.838158607, 55.819634391], [37.837997675, 55.820286858], [37.837933302, 55.820436035], [37.837734544, 55.820836239], [37.837576308, 55.821283578], [37.836878934, 55.822497604], [37.836417594, 55.823228417], [37.835294008, 55.824662474], [37.834741473, 55.825269657], [37.834634185, 55.825218431], [37.835267186, 55.824504273], [37.835353017, 55.824398806], [37.836130857, 55.823419451], [37.836871147, 55.822391856], [37.837359309, 55.821496831], [37.837450504, 55.821300948], [37.837686539, 55.820648498], [37.837793827, 55.820383295], [37.837890387, 55.820063845], [37.838032544, 55.819598979], [37.838212252, 55.81903164], [37.838292718, 55.818368604], [37.838362455, 55.817768847], [37.838405371, 55.817476501], [37.838421464, 55.817274569], [37.838571668, 55.816605475], [37.838609219, 55.816406553], [37.838716507, 55.815915271], [37.838743329, 55.815797724], [37.838850617, 55.815216012]]], type=MultiLineString};{coordinates=[37.837686539, 55.820648498], type=Point}
МКАД внутреннее кольцо (МКАД, прямой ход от Бутовской до Ясеневской транспортной развязки) от 35 км до 36 км, 0-3 ряд;2020;да;Юго-Западный административный округ;район Ясенево;08.03.2020;21.06.2020;08.03.2020;21.06.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031173618;{coordinates=[[[37.570338696, 55.581766009], [37.570299134, 55.58169608], [37.568933889, 55.582025444], [37.567671239, 55.582328275], [37.566702962, 55.58255985], [37.565785646, 55.582777021], [37.565170079, 55.582922559], [37.561939359, 55.583708607], [37.55902648, 55.58439686], [37.557124794, 55.584859226], [37.553179264, 55.585797584], [37.550067902, 55.586550983], [37.550121546, 55.586622229], [37.553340197, 55.585855188], [37.554917336, 55.585479242], [37.556207478, 55.585174541], [37.557148933, 55.584953214], [37.558943331, 55.584518137], [37.561998367, 55.583785922], [37.562379241, 55.583688899], [37.566114217, 55.582801277], [37.566283867, 55.582760345], [37.570286393, 55.581793866]]], type=MultiLineString};{coordinates=[37.55902648, 55.58439686], type=Point}
МКАД внутреннее кольцо (МКАД, прямой ход от Ярославской до Абрамцевской транспортной развязки) от внутреннее кольцо 97 плюс 500 км до 99 км, 4-5 ряд;2020;да;Восточный административный округ;[район Гольяново, район Метрогородок];06.03.2020;31.03.2020;06.03.2020;31.03.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031173675;{coordinates=[[[37.788958727, 55.849957585], [37.788776337, 55.849848944], [37.785480705, 55.851491642], [37.782176223, 55.853193563], [37.777713721, 55.855511592], [37.773958629, 55.857454712], [37.767971938, 55.860507989], [37.765053695, 55.862040571], [37.759088462, 55.865129685], [37.75818724, 55.865600271], [37.758401816, 55.865732999], [37.761384433, 55.864200564], [37.764710372, 55.862511194], [37.767628615, 55.860978631], [37.769752925, 55.859916662], [37.772692626, 55.858396064], [37.775909212, 55.8567165], [37.778360751, 55.855467339], [37.780935672, 55.854163823], [37.784004119, 55.852582648], [37.785281539, 55.851822016], [37.78915396, 55.849902952]]], type=MultiLineString};{coordinates=[37.773958629, 55.857454712], type=Point}
МКАД прямой ход Алтуфьевская Осташковская (МКАД, прямой ход от Алтуфьевской до Осташковской транспортной развязки) от внешнее кольцо 89 км до 90 км 0-5 ряд (за исключением Осташковского п/п);2020;да;Северо-Восточный административный округ;[район Бибирево, район Северное Медведково];21.02.2020;02.05.2020;21.02.2020;02.05.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031173682;{coordinates=[[[37.642367785, 55.897700694], [37.64407367, 55.897465597], [37.646240895, 55.897206386], [37.647759318, 55.896998902], [37.648164332, 55.896961305], [37.649794106, 55.896822348], [37.65141416, 55.896653557], [37.653409723, 55.896442567], [37.654622082, 55.896340085], [37.656006102, 55.896219519], [37.658233585, 55.896033474], [37.660100403, 55.89590085], [37.662128153, 55.895780282], [37.664145174, 55.895689856], [37.667923527, 55.895502242], [37.6714855, 55.895399758], [37.672343807, 55.895381673], [37.672300892, 55.89523699], [37.669425564, 55.895345502], [37.667773323, 55.89539373], [37.666357116, 55.895460043], [37.663751288, 55.895583903], [37.661659165, 55.895686386], [37.659180804, 55.89586121], [37.657077952, 55.896023976], [37.655082388, 55.896174685], [37.654129216, 55.896268851], [37.652176567, 55.896461757], [37.650062987, 55.896678775], [37.64811337, 55.896929724], [37.646393725, 55.89707061], [37.643969008, 55.897372019], [37.642252394, 55.897583004], [37.642466971, 55.897715622]]], type=MultiLineString};{coordinates=[37.657077952, 55.896023976], type=Point}
МКАД прямой ход от Строгино-Мякинино до Волоколамской транспортной развязки от внутреннее кольцо 66 км плюс 500 м до 68 км плюс 800 км. (за исключением Спасского моста и Волоколамского п/п);2020;да;Северо-Западный административный округ;[район Митино, район Покровское-Стрешнево, район Строгино, район Южное Тушино];01.03.2020;14.05.2020;01.03.2020;14.05.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031179212;{coordinates=[[[37.390477633, 55.814906997], [37.390992617, 55.816435344], [37.391207194, 55.817172312], [37.39151833, 55.8183019], [37.391765093, 55.818948226], [37.392183518, 55.820343531], [37.39244101, 55.821110625], [37.392913079, 55.822611663], [37.393192029, 55.823469307], [37.393582016, 55.824964717], [37.393946796, 55.826456432], [37.394472509, 55.828161689], [37.394794374, 55.82922453], [37.395191341, 55.830402075], [37.395416647, 55.831132739], [37.39582479, 55.83221995], [37.39587307, 55.832367575], [37.395889163, 55.832412766], [37.396153813, 55.83354047], [37.396424453, 55.834759379], [37.396499555, 55.835405431], [37.39645664, 55.837147484], [37.396174966, 55.838440748], [37.395810185, 55.839406712], [37.395220099, 55.840626206], [37.395112811, 55.840765057]]], type=MultiLineString};{coordinates=[37.394472509, 55.828161689], type=Point}
МКАД, Варшавская транспортная развязка на всем протяжении;2020;да;[Южный административный округ, Юго-Западный административный округ];[район Чертаново Южное, район Северное Бутово];26.03.2020;30.06.2020;26.03.2020;30.06.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031180388;{coordinates=[[[37.597394004, 55.567123978], [37.601771369, 55.567610342], [37.601106181, 55.568959971], [37.600555122, 55.570163185], [37.600477338, 55.570628751], [37.600458562, 55.570827411], [37.600805774, 55.572096766], [37.602715506, 55.573300353], [37.605204596, 55.574601158], [37.607350364, 55.575026645], [37.607586398, 55.575707415], [37.606620803, 55.575731728], [37.605526461, 55.575737807], [37.603359237, 55.575987014], [37.600998893, 55.576971672], [37.59752275, 55.577810435], [37.596278205, 55.578746425], [37.594861998, 55.57722695], [37.593252673, 55.576686002], [37.591643348, 55.576923047], [37.590827956, 55.576448955], [37.591686263, 55.575926232], [37.592340722, 55.575284974], [37.593338504, 55.574011546], [37.594819083, 55.571853612], [37.597179427, 55.569014685], [37.597308173, 55.567148296]]], type=MultiLineString};{coordinates=[37.600805774, 55.572096766], type=Point}
МКАД, Горьковская транспортная развязка на всем протяжении;2020;да;Восточный административный округ;район Ивановское;04.05.2020;22.07.2020;04.05.2020;22.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031180831;{coordinates=[[[37.841463653, 55.779760252], [37.842879859, 55.779760252], [37.845926848, 55.778188131], [37.850347129, 55.779010479], [37.850304214, 55.778260692], [37.846699325, 55.777099702], [37.845669356, 55.776761074], [37.843566505, 55.774971132], [37.843394843, 55.774438971], [37.84232196, 55.774511539], [37.838759986, 55.775745171], [37.836485473, 55.775261398], [37.835755912, 55.775841925], [37.838459579, 55.776519195], [37.841527462, 55.779885614]]], type=MultiLineString};{coordinates=[37.843566505, 55.774971132], type=Point}
МКАД, Ивановская транспортная развязка на всем протяжении;2020;да;Восточный административный округ;район Ивановское;27.03.2020;13.05.2020;27.03.2020;13.05.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031181321;{coordinates=[[[37.842400919, 55.772724563], [37.843645464, 55.772797134], [37.846134554, 55.76834586], [37.844589601, 55.76754748], [37.84313048, 55.766579724], [37.841328035, 55.766797471], [37.839954744, 55.766845859], [37.839997659, 55.767426511], [37.841070543, 55.767378124], [37.841489911, 55.770482599], [37.842744241, 55.772772944]]], type=MultiLineString};{coordinates=[37.841489911, 55.770482599], type=Point}
МКАД, Каширская транспортная развязка на всем протяжении;2020;да;Южный административный округ;район Орехово-Борисово Южное;23.05.2020;17.06.2020;23.05.2020;17.06.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031182243;{coordinates=[[[37.724542963, 55.590670092], [37.726216662, 55.589649323], [37.730636942, 55.589430583], [37.732353556, 55.588628527], [37.733211863, 55.589114624], [37.73342644, 55.592784458], [37.736688006, 55.594242575], [37.73535763, 55.595020215], [37.731538164, 55.593562127], [37.729585516, 55.5938659], [37.727976191, 55.594339781], [37.727032053, 55.594923011], [37.726259577, 55.594752903], [37.726559984, 55.593610731], [37.724615335, 55.590614844]]], type=MultiLineString};{coordinates=[37.731538164, 55.593562127], type=Point}
МКАД, Щелковская транспортная развязка;2020;да;Восточный административный округ;[район Гольяново, район Северное Измайлово];14.03.2020;14.05.2020;14.03.2020;14.05.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031195224;{coordinates=[[[37.843153318, 55.814882573], [37.843668302, 55.81510005], [37.842230638, 55.815009435], [37.841093381, 55.815232951], [37.83879741, 55.816151167], [37.834913571, 55.81372268], [37.837263187, 55.812623166], [37.839140733, 55.811426955], [37.841479619, 55.813082307], [37.842874368, 55.814423453], [37.840063413, 55.814163685], [37.840784927, 55.814409861], [37.841034372, 55.81480102], [37.840653499, 55.815190664], [37.839897116, 55.815317525], [37.839280208, 55.815136296], [37.838861783, 55.814592603], [37.839162191, 55.813396454], [37.839548429, 55.812937316], [37.840320905, 55.812804407], [37.840771516, 55.812925233], [37.84100755, 55.813191051], [37.841136296, 55.813529361], [37.840750058, 55.813819339], [37.839891751, 55.813819339], [37.837574323, 55.813626021], [37.836973508, 55.813191051], [37.837209542, 55.812695662], [37.838346799, 55.812756076], [37.83843263, 55.813336041], [37.838529189, 55.814423453], [37.83769234, 55.814834245], [37.83709689, 55.814719466], [37.836844762, 55.814326796], [37.837343216, 55.813928982], [37.839548429, 55.813819339], [37.838089307, 55.813915998]]], type=MultiLineString};{coordinates=[37.839548429, 55.813819339], type=Point}
ТТК Гагаринская развязка (ТТК, участок от Андреевского моста до Вавилова улица);2020;да;[Южный административный округ, Юго-Западный административный округ];[Донской район, Гагаринский район];11.07.2020;29.07.2020;11.07.2020;29.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031195234;{coordinates=[[[37.578829864, 55.712565397], [37.57923756, 55.712722877], [37.580417732, 55.71176587], [37.581072191, 55.711632613], [37.583239416, 55.710154651], [37.586489671, 55.708078996], [37.588227742, 55.707146105], [37.588453048, 55.706976486], [37.588925116, 55.706837156], [37.588453048, 55.706613015], [37.585438245, 55.707763996], [37.584644311, 55.708139573], [37.582304103, 55.709565984], [37.580135465, 55.711179182], [37.579342944, 55.712128192], [37.57882796, 55.712570353]]], type=MultiLineString};{coordinates=[37.583239416, 55.710154651], type=Point}
ТТК съезд с Золоторожский Вал улицы на внутреннее кольцо ТТК тоннельно эстакадный участок в районе Спартаковской площади и Проломной заставы площади;2020;да;Юго-Восточный административный округ;район Лефортово;23.07.2020;29.07.2020;27.07.2020;29.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031195240;{coordinates=[[[37.692178733, 55.755024559], [37.691913843, 55.755115034], [37.691771037, 55.755127415], [37.691406257, 55.75504271], [37.6918615, 55.755357755], [37.69204389, 55.755139944], [37.692591061, 55.754710368], [37.693352808, 55.754044818], [37.694077737, 55.753511943], [37.694378144, 55.753354627]]], type=MultiLineString};{coordinates=[37.692591061, 55.754710368], type=Point}
Эстакада через Николоямскую улицу;2020;да;Центральный административный округ;Таганский район;10.07.2020;17.07.2020;10.07.2020;17.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031195241;{coordinates=[[[37.655638643, 55.74701854], [37.655685917, 55.747365952], [37.655708715, 55.747530128], [37.655764371, 55.747955093], [37.655801252, 55.74818569], [37.655886412, 55.748854828], [37.655572593, 55.748860867], [37.655516267, 55.748420437], [37.655499503, 55.74829929], [37.655451894, 55.747976606], [37.655441165, 55.747883763], [37.655381486, 55.747457287], [37.655250058, 55.746486186], [37.655239999, 55.746409947], [37.655132711, 55.745643767], [37.654883265, 55.744023416], [37.655231099, 55.744012982], [37.65556857, 55.74649147], [37.655570582, 55.746517135], [37.655638795, 55.747008638]]], type=MultiLineString};{coordinates=[37.655250058, 55.746486186], type=Point}
Кремлевская набережная;2020;да;Центральный административный округ;Тверской район;16.07.2020;29.07.2020;16.07.2020;29.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031195242;{coordinates=[[[37.612048911, 55.747401115], [37.615761088, 55.748296732], [37.617274672, 55.748657824], [37.62063198, 55.749192329], [37.624236869, 55.749567505], [37.623979377, 55.749809552], [37.618700789, 55.749131816], [37.617070006, 55.748847405], [37.615439223, 55.748502479], [37.611769961, 55.747631073]]], type=MultiLineString};{coordinates=[37.618700789, 55.749131816], type=Point}
Ленинский проспект от Университетского проспекта до ул.Кравченко;2020;да;[Юго-Западный административный округ, Западный административный округ];[Гагаринский район, Ломоносовский район, Обручевский район, район Проспект Вернадского];13.07.2020;31.07.2020;13.07.2020;31.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031195402;{coordinates=[[[37.54457302, 55.688131103], [37.545581531, 55.687561387], [37.543049525, 55.685803699], [37.54171915, 55.684955132], [37.537193057, 55.681836903], [37.531751863, 55.678161609], [37.526966802, 55.674948448], [37.524585, 55.673335705], [37.523469201, 55.673954133], [37.526344529, 55.675809358], [37.529799214, 55.67811311], [37.533962003, 55.680925927], [37.53785657, 55.683580944], [37.543132721, 55.687117931], [37.544555962, 55.688130576]]], type=MultiLineString};{coordinates=[37.533962003, 55.680925927], type=Point}
Ленинский проспект Гагарина площадь полностью;2020;да;[Южный административный округ, Юго-Западный административный округ];[Донской район, Гагаринский район];18.07.2020;29.07.2020;18.07.2020;29.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031195405;{coordinates=[[[37.580623627, 55.70842593], [37.581587029, 55.709265388], [37.582069826, 55.709465285], [37.583657694, 55.710028623], [37.584644747, 55.709471342], [37.583035421, 55.708284065], [37.581608486, 55.707766134], [37.580717993, 55.70842339]]], type=MultiLineString};{coordinates=[37.583035421, 55.708284065], type=Point}
Марксистская улица;2020;да;Центральный административный округ;Таганский район;26.07.2020;19.08.2020;26.07.2020;19.08.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031195406;{coordinates=[[[37.66855422, 55.733770643], [37.662497489, 55.737290687], [37.659633458, 55.738997374], [37.655336294, 55.741470135]]], type=MultiLineString};{coordinates=[37.662497489, 55.737290687], type=Point}
Мира проспект от от ул. Сергея Эйзенштейна до Северянинского п/п (за искл. Гарантии 2019 года);2020;да;Северо-Восточный административный округ;[Алексеевский район, Останкинский район, район Ростокино, район Свиблово, Ярославский район];09.05.2020;17.07.2020;09.05.2020;17.07.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031195407;{coordinates=[[[37.649126031, 55.829054355], [37.650177457, 55.828740336], [37.652838209, 55.831530189], [37.654619195, 55.833317522], [37.656425007, 55.835050567], [37.65833474, 55.836584157], [37.659652233, 55.837557432], [37.663162716, 55.840303164], [37.668226726, 55.844130469], [37.67049214, 55.845873797], [37.669934241, 55.846018665], [37.667466608, 55.844062898], [37.665084807, 55.842251914], [37.662574259, 55.840356327], [37.661158053, 55.839160973], [37.656884332, 55.8359735], [37.655575414, 55.834850465], [37.653279443, 55.832616375], [37.650113448, 55.829778212], [37.649126395, 55.829077717]]], type=MultiLineString};{coordinates=[37.659652233, 55.837557432], type=Point}
16-я Парковая улица;2020;да;Восточный административный округ;[район Восточное Измайлово, район Ивановское, район Северное Измайлово];01.08.2020;02.09.2020;01.08.2020;02.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1031195417;{coordinates=[[[37.828962139, 55.812305102], [37.829704285, 55.805164292], [37.830174265, 55.802818907], [37.82995444, 55.802154182], [37.829632691, 55.801577071], [37.828724216, 55.800853913], [37.82535725, 55.79906004], [37.823297313, 55.795578835], [37.822610668, 55.791903891], [37.823983959, 55.789099094]]], type=MultiLineString};{coordinates=[37.82535725, 55.79906004], type=Point}
