WorksPlace;WorkYear;OnTerritoryOfMoscow;AdmArea;District;WorksBeginDate;PlannedEndDate;ActualBeginDate;ActualEndDate;WorksType;WorksStatus;WorkReason;Customer;Contractor;global_id;geoData;geodata_center
Место проведения;Год проведения работ;Объект расположен в пределах границ города Москвы;Административный округ;Район;Плановая дата начала выполнения работ;Плановая дата окончания работ;Фактическая дата начала выполнения работ;Фактическая дата окончания работ;Тип работ;Статус работ;Основание проведения работ;Заказчик;Подрядчик;global_id;geoData;geodata_center
Проезд от ул. Радио до набережной Академика Туполева;2020;да;Центральный административный округ;Басманный район;13.10.2020;15.10.2020;13.10.2020;15.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062116197;{coordinates=[[[37.680077255, 55.763047437], [37.679899106, 55.762392101], [37.679392169, 55.760730567], [37.679255376, 55.760400063], [37.679070303, 55.760046919], [37.678788672, 55.759711881], [37.678724299, 55.759553416], [37.678651879, 55.759272706]]], type=MultiLineString};{coordinates=[37.679392169, 55.760730567], type=Point}
Химкинский бульвар (Ось 1);2020;да;Северо-Западный административный округ;[район Северное Тушино, район Южное Тушино];13.10.2020;15.10.2020;13.10.2020;15.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062116307;{coordinates=[[[37.44014986, 55.850705911], [37.452123241, 55.852015814], [37.452589946, 55.850733013], [37.44064182, 55.849421986], [37.44019814, 55.850669775]]], type=MultiLineString};{coordinates=[37.452123241, 55.852015814], type=Point}
Саломеи Нерис ул.;2020;да;Северо-Западный административный округ;[район Митино, район Северное Тушино, район Южное Тушино];13.10.2020;15.10.2020;13.10.2020;15.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062116357;{coordinates=[[[37.402378994, 55.850615571], [37.401944476, 55.850787217], [37.396071553, 55.851697049], [37.394654232, 55.851799006], [37.39310928, 55.851780938], [37.390550453, 55.851564128]]], type=MultiLineString};{coordinates=[37.396071553, 55.851697049], type=Point}
"Фабрициуса улица от Свободы улица
до Сходненская улица";2020;да;Северо-Западный административный округ;район Южное Тушино;03.10.2020;15.10.2020;03.10.2020;15.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062116719;{coordinates=[[[37.454682068, 55.844508115], [37.443294525, 55.843260882], [37.439288871, 55.843494654]]], type=MultiLineString};{coordinates=[37.443294525, 55.843260882], type=Point}
Светлогорский проезд;2020;да;Северо-Западный административный округ;район Южное Тушино;14.10.2020;15.10.2020;14.10.2020;15.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062117454;{coordinates=[[[37.403618175, 55.842710028], [37.403537708, 55.84296303], [37.40389176, 55.844977954], [37.403972226, 55.845492962], [37.403988319, 55.845998929], [37.40389176, 55.846315155], [37.403702438, 55.847592504], [37.403489429, 55.848311836], [37.402684766, 55.850293311]]], type=MultiLineString};{coordinates=[37.40389176, 55.846315155], type=Point}
Развязка у ТЦ Калейдоскоп (в составе ТПУ Сходненская);2020;да;Северо-Западный административный округ;[район Северное Тушино, район Южное Тушино];14.10.2020;15.10.2020;14.10.2020;15.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062118280;{coordinates=[[[37.438902633, 55.850826387], [37.440109627, 55.850943828], [37.440640705, 55.849453204], [37.44056806, 55.849217586], [37.439490037, 55.84925445], [37.438926773, 55.850826387]]], type=MultiLineString};{coordinates=[37.439490037, 55.84925445], type=Point}
Проезд от Болотниковской ул. д.38 корп. 1-6;2020;да;Юго-Западный административный округ;район Зюзино;13.10.2020;15.10.2020;13.10.2020;15.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062124466;{coordinates=[[[37.588400913, 55.660592701], [37.588771057, 55.660774262], [37.589174509, 55.661173361], [37.59095974, 55.662816774], [37.592279387, 55.66404223]]], type=MultiLineString};{coordinates=[37.59095974, 55.662816774], type=Point}
Михайлова улица;2020;да;Юго-Восточный административный округ;Рязанский район;02.10.2020;15.10.2020;02.10.2020;15.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062128928;{coordinates=[[[37.7602458, 55.729791035], [37.766746349, 55.727631517], [37.773296303, 55.72544738], [37.780667014, 55.723000277], [37.784931726, 55.721577261], [37.786251373, 55.721133125]]], type=MultiLineString};{coordinates=[37.773296303, 55.72544738], type=Point}
Бажова улица за исключением гарантии 2019 г.;2020;да;Северо-Восточный административный округ;район Ростокино;13.10.2020;16.10.2020;13.10.2020;16.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062128936;{coordinates=[[[37.666002581, 55.837414673], [37.662735651, 55.835164381], [37.661609123, 55.834396179], [37.661261559, 55.834011745], [37.659034203, 55.832163789], [37.660369943, 55.831711872], [37.662896583, 55.833881023], [37.660369943, 55.831711872], [37.659951518, 55.83125995], [37.659585397, 55.831370707], [37.658985923, 55.830774164], [37.658688198, 55.830498486], [37.658672104, 55.830478149], [37.658000211, 55.830701855], [37.659066389, 55.830347088], [37.658370356, 55.829684997], [37.658249657, 55.829549414]]], type=MultiLineString};{coordinates=[37.661261559, 55.834011745], type=Point}
Внутренний проезд от Новоорловской улицы д.5 до д.5.к.1;2020;да;Западный административный округ;район Ново-Переделкино;18.10.2020;22.10.2020;18.10.2020;22.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062142646;{coordinates=[[[37.361856182, 55.635847035], [37.362903357, 55.635357682], [37.363095362, 55.63521116], [37.363336761, 55.635283832], [37.366217453, 55.633784947]]], type=MultiLineString};{coordinates=[37.363336761, 55.635283832], type=Point}
Ленинградское шоссе ООТ Бутаково;2020;нет;;;18.10.2020;20.10.2020;18.10.2020;20.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062142694;{coordinates=[[[37.439924555, 55.885988628], [37.43957855, 55.885817139], [37.440471725, 55.885077016], [37.44096257, 55.885289125], [37.440086603, 55.885910056], [37.439940648, 55.885997654]]], type=MultiLineString};{coordinates=[37.440086603, 55.885910056], type=Point}
Проезд от Карамышевского проезда до проспекта Маршала Жукова;2020;да;Северо-Западный административный округ;район Хорошёво-Мнёвники;14.10.2020;15.10.2020;14.10.2020;15.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1068692626;{coordinates=[[[37.454279737, 55.778611322], [37.454017997, 55.778229729], [37.453861312, 55.778023021]]], type=MultiLineString};{coordinates=[37.454017997, 55.778229729], type=Point}
