"Ext_id";"Address";"global_id";"AdmArea";"District";"Event_type";"Name";"Requester";"TS_from";"TS_to";"Lanes_closed";"Descr";"Geometry_type";"Geometry_point";"Geometry_line";"geoData";"geodata_center";
"Идентификатор";"Местоположение";"global_id";"Административный округ";"Район";"Тип события";"Наименование события";"Инициатор";"Дата и время начала перекрытия";"Дата и время окончания перекрытия";"Количество перекрытых полос";"Дополнительная информация";"Тип геометрии";"Координаты для точечных объектов";"Координаты для линейных объектов";"geoData";"geodata_center";
"95";"Садовническая наб., влд.11";"2699910473";"Центральный административный округ";"район Замоскворечье";"Ремонтные работы";"Коммерческие организации";"ООО «Зак Девелопмент»";"26.07.2021";"31.12.2024";"";"";"line";"";"37.629151,55.746219;37.629253,55.746206;37.629258,55.746205;37.629261,55.746205;37.629615,55.746163;37.629673,55.746156;37.629674,55.746156;37.629684,55.746155;37.629702,55.746153";"{coordinates=[[[37.629151, 55.746219], [37.629253, 55.746206], [37.629258, 55.746205], [37.629261, 55.746205], [37.629615, 55.746163], [37.629673, 55.746156], [37.629674, 55.746156], [37.629684, 55.746155], [37.629702, 55.746153]]], type=MultiLineString}";"";
"91";"местный проезд (Варшавское ш., вл. 30Г - Варшавское ш.)";"2699910474";"Южный административный округ";"Нагорный район";"Ремонтные работы";"Коммерческие организации";"ООО «ТПУ «Нагатинская» (ООО «Трэйд Инветсментс»)";"09.02.2024";"10.09.2025";"";"";"line";"";"37.6222139596939,55.6816917689918;37.6219457387924,55.6816887445864;37.6218277215958,55.6817341106415;37.6217526197434,55.682075866565;37.6216238737106,55.6825355689377;37.6213663816452,55.6832674523554;37.6213127374649,55.6834610060106;37.6223909854889,55.6835305641215";"{coordinates=[[[37.62221396, 55.681691769], [37.621945739, 55.681688745], [37.621827722, 55.681734111], [37.62175262, 55.682075867], [37.621623874, 55.682535569], [37.621366382, 55.683267452], [37.621312737, 55.683461006], [37.622390985, 55.683530564]]], type=MultiLineString}";"";
"86";"Боровское ш., д.6, к.4 (в сторону центра)";"2699910475";"Западный административный округ";"район Солнцево";"Ремонтные работы";"Работы ДЖКХ";"ООО «УСТР-М»";"31.01.2024";"31.12.2024";"";"";"line";"";"37.3960661888123,55.6562477157218;37.3964846134186,55.6565867596991;37.3975092172623,55.6570804933004";"{coordinates=[[[37.396066189, 55.656247716], [37.396484613, 55.65658676], [37.397509217, 55.657080493]]], type=MultiLineString}";"";
"83";"ул. Шумилова, д.15/4";"2699910476";"Юго-Восточный административный округ";"район Кузьминки";"Ремонтные работы";"Работы Департамента строительства";"ООО «ГП -МФС»";"30.01.2024";"31.12.2024";"";"";"line";"";"37.778957,55.706962;37.779258,55.706884;37.779262,55.706884;37.779267,55.706882;37.77975,55.706758;37.779755,55.706757;37.779756,55.706756;37.779777,55.706752";"{coordinates=[[[37.778957, 55.706962], [37.779258, 55.706884], [37.779262, 55.706884], [37.779267, 55.706882], [37.77975, 55.706758], [37.779755, 55.706757], [37.779756, 55.706756], [37.779777, 55.706752]]], type=MultiLineString}";"";
"81";"ул. Новокрюковская (от ул. Логвиненко до Проектируемого проезда №898)";"2699910477";"Зеленоградский административный округ";"район Крюково";"Ремонтные работы";"Коммерческие организации";"ООО «СТРОЙМОНТАЖ»";"17.10.2022";"31.12.2024";"";"";"line";"";"37.1670913696289,55.9837965284604;37.170535326004,55.9808287233832";"{coordinates=[[[37.16709137, 55.983796528], [37.170535326, 55.980828723]]], type=MultiLineString}";"";
"77";"ул. Розанова (ул. Розанова, д.4с3 - Хорошевское ш., д.1)";"2699910479";"Северный административный округ";"Хорошёвский район";"Ремонтные работы";"Коммерческие организации";"АО «РЖДстрой»";"19.01.2024";"01.12.2025";"1";"";"line";"";"37.544819,55.773209;37.544766,55.773186;37.544678,55.77316;37.544003,55.773041;37.543996,55.77304;37.543985,55.773038;37.542886,55.772845;37.542875,55.772843;37.54287,55.772842;37.542347,55.772711;37.542341,55.772709;37.542337,55.772708;37.542073,55.772642";"{coordinates=[[[37.544819, 55.773209], [37.544766, 55.773186], [37.544678, 55.77316], [37.544003, 55.773041], [37.543996, 55.77304], [37.543985, 55.773038], [37.542886, 55.772845], [37.542875, 55.772843], [37.54287, 55.772842], [37.542347, 55.772711], [37.542341, 55.772709], [37.542337, 55.772708], [37.542073, 55.772642]]], type=MultiLineString}";"";
"75";"местный пр-д (от пересечения с ул. Новохохловская до д.5А)";"2699910480";"Юго-Восточный административный округ";"Нижегородский район";"Ремонтные работы";"Работы ДЖКХ";"ООО «ЭССЕНС»";"16.01.2024";"31.12.2024";"";"";"line";"";"37.7106115221977,55.73136296749;37.7131124139487,55.7306927415309";"{coordinates=[[[37.710611522, 55.731362967], [37.713112414, 55.730692742]]], type=MultiLineString}";"";
"73";"ул. Новокрюковская (от ул. Логвиненко до Проектируемого проезда №898)";"2699910481";"Зеленоградский административный округ";"район Крюково";"Ремонтные работы";"Коммерческие организации";"ООО «СТРОЙМОНТАЖ»";"17.10.2022";"31.12.2024";"";"";"line";"";"37.1670913696289,55.9837965284604;37.170535326004,55.9808287233832";"{coordinates=[[[37.16709137, 55.983796528], [37.170535326, 55.980828723]]], type=MultiLineString}";"";
"67";"МСД (СВХ) (Открытое ш., д.13с12 - ул. Пермская, д.3Ас1)";"2699910486";"Восточный административный округ";"район Метрогородок";"Ремонтные работы";"Работы Департамента строительства";"АО «МСУ-1»";"09.01.2024";"15.01.2025";"1";"";"line";"";"37.7355480194092,55.8183731245282;37.7363312244415,55.8180174912823";"{coordinates=[[[37.735548019, 55.818373125], [37.736331224, 55.818017491]]], type=MultiLineString}";"";
"65";"боковой пр-д Дмитровского ш. (от д.37, к.1 до д.29, к.1 по Дмитровскому ш.)";"2699910487";"Северный административный округ";"Тимирязевский район";"Ремонтные работы";"Работы Департамента строительства";"ГКУ «УДМС»";"02.04.2022";"31.12.2024";"";"";"line";"";"37.5722594250692,55.8301160899379;37.5722486962332,55.829163624935";"{coordinates=[[[37.572259425, 55.83011609], [37.572248696, 55.829163625]]], type=MultiLineString}";"";
"61";"ул. Большая Академическая (ул. Валаамская - ул. Линии Октябрьской железной дороги)";"2699910488";"Северный административный округ";"Тимирязевский район";"Ремонтные работы";"Коммерческие организации";"ООО ФСК «Мостоотряд-47»";"11.12.2023";"08.12.2024";"1";"";"line";"";"37.560159,55.844504;37.560295,55.84456;37.560674,55.844713;37.56092,55.844812;37.561086,55.844871;37.561183,55.8449;37.561326,55.844936";"{coordinates=[[[37.560159, 55.844504], [37.560295, 55.84456], [37.560674, 55.844713], [37.56092, 55.844812], [37.561086, 55.844871], [37.561183, 55.8449], [37.561326, 55.844936]]], type=MultiLineString}";"";
"56";"Ленинский просп., д.87 - д.91";"2699910491";"Юго-Западный административный округ";"Ломоносовский район";"Ремонтные работы";"Работы Департамента строительства";"АО «Мосинжпроект» (ООО «Горинжстрой», АО «Трасинжстрой»)";"02.12.2023";"30.12.2024";"4";"";"line";"";"37.528976,55.677079;37.529549,55.677469;37.529564,55.67748;37.529567,55.677481;37.529816,55.677651;37.529818,55.677653;37.529824,55.677656;37.530332,55.678002;37.530337,55.678006;37.530362,55.678023;37.532876,55.67973;37.532895,55.679743";"{coordinates=[[[37.528976, 55.677079], [37.529549, 55.677469], [37.529564, 55.67748], [37.529567, 55.677481], [37.529816, 55.677651], [37.529818, 55.677653], [37.529824, 55.677656], [37.530332, 55.678002], [37.530337, 55.678006], [37.530362, 55.678023], [37.532876, 55.67973], [37.532895, 55.679743]]], type=MultiLineString}";"";
"743";"Наставнический пер., д.11";"2699996862";"Центральный административный округ";"Таганский район";"Ремонтные работы";"Работы ДЖКХ";"АО «Мосводоканал»";"18.10.2024";"31.12.2024";"";"";"line";"";"37.664348,55.750346;37.664502,55.75017";"{coordinates=[[[37.664348, 55.750346], [37.664502, 55.75017]]], type=MultiLineString}";"";
"742";"Хлебный пер. (в районе пересечения с Мерзляковским пер.)";"2699996863";"Центральный административный округ";"район Арбат";"Ремонтные работы";"Работы ДЖКХ";"ООО «ИК ТЭС»";"21.10.2024";"01.12.2024";"1";"";"line";"";"37.599069,55.75425;37.598984,55.754266;37.598982,55.754267;37.598976,55.754268;37.598441,55.754367";"{coordinates=[[[37.599069, 55.75425], [37.598984, 55.754266], [37.598982, 55.754267], [37.598976, 55.754268], [37.598441, 55.754367]]], type=MultiLineString}";"";
"665";"местный пр-д (в районе д.1 по ул. Мичуринский Проспект, Олимпийская Деревня()";"2699996868";"Западный административный округ";"район Тропарёво-Никулино";"Ремонтные работы";"Работы ДЖКХ";"ПАО «Россети Московский регион»";"02.12.2024";"10.12.2024";"";"";"line";"";"37.4701917171478,55.6778623481554;37.4701058864594,55.6779198329912";"{coordinates=[[[37.470191717, 55.677862348], [37.470105886, 55.677919833]]], type=MultiLineString}";"";
"658";"съезд с Краснопресненской путепровода на Хорошевское ш. (в районе влд.2Б по ул. Беговая)";"2699996870";"Северный административный округ";"[район Беговой, Хорошёвский район]";"Ремонтные работы";"Коммерческие организации";"Департамент капитального ремонта города Москвы";"03.01.2023";"31.12.2025";"";"";"line";"";"37.554833,55.774055;37.554751,55.774043;37.554593,55.774026;37.554561,55.774023;37.554443,55.774012;37.554237,55.773992;37.554104,55.773979;37.553986,55.773968;37.553978,55.773967;37.553795,55.77395";"{coordinates=[[[37.554833, 55.774055], [37.554751, 55.774043], [37.554593, 55.774026], [37.554561, 55.774023], [37.554443, 55.774012], [37.554237, 55.773992], [37.554104, 55.773979], [37.553986, 55.773968], [37.553978, 55.773967], [37.553795, 55.77395]]], type=MultiLineString}";"";
"655";"ул. Долгопрудная (Карельский б-р, влд.14/16, к.6)";"2699996871";"Северный административный округ";"Дмитровский район";"Ремонтные работы";"Работы ДЖКХ";"АО «ГЭХ Теплостройпроект»";"29.06.2024";"31.12.2025";"";"";"line";"";"37.53668,55.8936;37.536878,55.893601;37.536881,55.893601;37.536886,55.893601;37.537311,55.893602;37.537442,55.893602";"{coordinates=[[[37.53668, 55.8936], [37.536878, 55.893601], [37.536881, 55.893601], [37.536886, 55.893601], [37.537311, 55.893602], [37.537442, 55.893602]]], type=MultiLineString}";"";
